Data	Coastal	CoastalN	Koroshi	KoroshiN	Turkmen	TurkmenN
{Direct object}	6.78466076696165	339	2.1978021978022	182	1.5625	192
{Instru\-ment}	29.4117647058824	17	0	5	8.33333333333333	12
Source	5.88235294117647	17	16.6666666666667	6	3.2258064516129	31
Place	19.7183098591549	71	31.4285714285714	35	4.87804878048781	41
{\mbox{(caused-)} Goal}	63.3928571428571	112	89.5348837209302	86	47.6190476190476	42
Oblique	13.5593220338983	59	17.6470588235294	17	15	20
